CompanyId,StartDate,EndDate,LegalName,DBAName,ChangeDate,UserId
1,12/19/1977,,Tagcat,Hettinger-Huels,6/4/1992,mjerson0
2,1/9/1981,7/24/2015,Centidel,Bergstrom-Kemmer,9/4/1962,kcornelissen1
3,3/25/1979,6/5/2003,Feednation,Hirthe-O'Connell,8/22/1995,kkopfen2
4,3/31/1998,10/26/2006,Lazzy,Wiegand-West,1/22/1989,acarlet3
5,4/12/1992,12/10/2000,Youbridge,Wilderman and Sons,1/17/1983,eander4
6,3/7/1966,12/10/2002,Tagopia,Anderson-Macejkovic,9/30/2001,rlachaize5
7,9/19/1992,,Agivu,Carroll and Sons,9/16/1981,opryell6
8,6/4/1988,2/11/2013,Youbridge,Senger Inc,3/4/2006,hdecourcy7
9,8/6/1998,,Realbuzz,Jenkins Group,10/23/1990,acroutear8
10,12/1/1973,3/7/2007,Voonyx,Rowe-Christiansen,11/13/1996,cfarnaby9
11,10/10/1981,,Kare,Ruecker-Wintheiser,2/18/1974,ngarratta
12,10/11/1973,6/15/2011,Zooveo,Bradtke-Dach,2/13/1985,gpoynerb
13,3/27/1975,,Tazzy,"Baumbach, Hills and Gislason",11/26/2014,jgockec
14,4/8/1988,12/9/2014,Jabbersphere,,9/4/2018,kpersed
15,8/6/1992,,Skyvu,Waters-Lockman,1/7/1963,walbasinye
16,1/15/1996,,Kazu,Gulgowski Inc,12/14/2012,bduggaryf
17,9/4/1980,,Brainlounge,"Ratke, Durgan and Donnelly",8/30/1984,msweedg
18,5/6/1982,9/28/2011,Wordtune,Pagac Inc,6/9/1994,kblastockh
19,3/22/1980,,Leenti,Robel and Sons,7/16/2018,tculweni
20,9/7/1991,,Flashspan,Cruickshank Inc,1/27/1984,ndauberj
21,8/31/1980,,Kanoodle,"Kuhlman, O'Conner and Runolfsdottir",12/12/2010,cbrenstonk
22,11/27/1979,11/12/2016,Oodoo,Johns-Mills,3/25/1991,wkleinplacl
23,1/23/1986,2/23/2016,Realcube,Abernathy-Kuhic,4/4/2002,denstonm
24,4/29/1966,,LiveZ,Hand-Kilback,9/16/1991,nhoutbien
25,11/11/1993,11/26/2004,Gabcube,"Bailey, Monahan and Lakin",5/21/1962,gschwerino
26,10/12/1998,10/12/2001,Realpoint,Douglas Inc,1/23/1980,jconklingp
27,12/18/1968,,Jetwire,,6/11/1975,kibotsonq
28,7/21/1972,,Ooba,Erdman-Marks,1/15/1970,kkarpenkor
29,7/30/1963,5/4/2015,Camimbo,Raynor-Tromp,10/23/1994,dlethcoes
30,2/25/1984,,Wordtune,Kub-Skiles,9/10/1977,gmantrippt
31,6/21/1982,1/12/2015,Vinte,Kunde-Becker,7/30/2005,hdigginu
32,3/16/1985,7/27/2009,Kwideo,,10/22/1986,atancockv
33,4/27/1975,4/22/2014,Wikivu,McKenzie-Schneider,1/23/1979,eaylingw
34,1/27/1994,,Innotype,Bechtelar LLC,10/19/1991,nlorentex
35,3/8/1972,,Jaloo,"Orn, Stiedemann and Leuschke",5/2/1997,cszwarcy
36,6/1/1993,3/27/2001,Livetube,,9/16/2008,bquinseez
37,12/9/1994,7/31/2012,Kare,"Kertzmann, Hirthe and Jacobi",11/30/2008,dpalfrie10
38,10/15/1999,,Trupe,Cartwright-Corkery,5/4/2008,kkuhne11
39,8/15/1981,4/20/2006,Tagpad,"Mayert, Bins and Corwin",2/14/1985,mfellgatt12
40,9/3/1974,,Yakijo,"Legros, Koelpin and Schneider",5/24/1981,arhymes13
41,6/10/1969,,Jaxnation,"Runolfsson, Armstrong and Schmitt",5/15/1975,eiacovone14
42,3/5/1975,2/17/2018,Jaxspan,,1/21/2009,cgeard15
43,4/8/1974,3/13/2014,Oodoo,"Hermiston, Kunze and Pfannerstill",6/12/1993,acrock16
44,7/2/1960,1/7/2001,Quinu,"Luettgen, Schmitt and Larkin",3/25/1992,bcranfield17
45,4/18/1970,8/30/2017,Meemm,"Leuschke, Durgan and Mante",11/7/2009,ebondy18
46,8/4/1989,,Skinte,Mertz-Effertz,10/10/1992,ksprowles19
47,4/14/1967,,Topicware,Mills Inc,2/27/2008,tmaile1a
48,3/13/1996,,Quinu,Hackett-Lockman,1/4/1995,awoodhouse1b
49,6/30/1993,6/11/2007,Dablist,Lubowitz LLC,11/13/1999,mohrtmann1c
50,3/9/1990,,Jatri,"Yundt, O'Reilly and Corkery",6/6/1978,mmeatyard1d
51,10/10/1986,5/18/2018,Skyble,Hahn-Hickle,4/27/1971,ameadows1e
52,11/5/1970,5/28/2002,Livepath,Hartmann Inc,5/31/1964,dpeacher1f
53,4/14/1976,10/30/2002,Photobean,Kling-Kling,1/12/1964,ccornillot1g
54,12/13/1967,,Skimia,"Gusikowski, King and Mann",6/29/1986,cfairleigh1h
55,9/27/1968,10/22/2003,Blogtags,DuBuque-Moore,3/21/1994,stailby1i
56,10/8/1986,,Skynoodle,Gleason-Huels,12/20/1975,nseldner1j
57,4/2/1968,5/18/2004,Photospace,Larson-Feest,10/22/2016,bharrigan1k
58,3/18/1976,3/1/2013,Skiptube,"Kerluke, Rau and Auer",12/25/1999,gszymanski1l
59,9/27/1975,,Realbridge,Dicki-Raynor,3/5/1988,emuggleston1m
